Book_Name,Book_Published_Date,Book_Author,Book_Stock_availability,Book_Price,Book_Publisher,Book_Language,Book_Dimensions,Book_Catagory,Book_Second_Author
The Immortal Life of Henrietta Lacks,"Feb 2, 2010",Rebecca Skloot,In Stock.,$9.17,"Crown; 1 edition (February 2, 2010)",English,6.5 x 1.3 x 9.6 inches,Cell Biology,
"Saga, Vol. 1","Oct 10, 2012",Brian K Vaughan and,In Stock.,$7.78,"Image Comics; 1st (first) edition (October 10, 2012)",English,6.5 x 0.4 x 10.1 inches,Image Comics & Graphic Novels,Fiona Staples
Career of Evil (A Cormoran Strike Novel),"Oct 20, 2015",Robert Galbraith,In Stock.,$9.92,"Mulholland Books (October 20, 2015)",English,6.4 x 1.6 x 9.6 inches,Literary Fiction,
The Oxford Companion to Wine (Oxford Companions),"Oct 1, 2015",Jancis Robinson and,In Stock.,$39.99,"Oxford University Press; 4 edition (October 1, 2015)",English,11.2 x 1.7 x 9.1 inches,Wine,Julia Harding
Queen of Shadows: Throne of Glass 4,"Sep 1, 2015",Sarah J. Maas,In Stock.,$16.99,"Bloomsbury USA Childrens; 2nd Printing edition (September 1, 2015)",English,6.5 x 2 x 9.5 inches,Teen & Young Adult Epic Fantasy,
The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,"Aug 2, 2016",Colson Whitehead,In Stock.,$10.27,"Doubleday; First Edition edition (August 2, 2016)",English,6.5 x 1.2 x 9.6 inches,African American Historical Fiction,
11/22/63: A Novel,"Nov 8, 2011",Stephen King,In Stock.,$9.16,"Scribner (November 8, 2011)",English,9.3 x 6.3 x 2.7 inches,Alternate History Science Fiction,
Stamped from the Beginning: The Definitive History of Racist Ideas in America (National Book Award Winner),"Apr 12, 2016",Ibram X. Kendi,In Stock.,$16.47,"Nation Books; First Edition/First Printing edition (April 12, 2016)",English,6.4 x 1.9 x 9.6 inches,African American History,
"The Girl in the Spider's Web: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series","Sep 1, 2015",David Lagercrantz,,$8.64,"Knopf; First American Edition edition (September 1, 2015)",English,6.5 x 1.4 x 9.6 inches,International Mystery & Crime,
The Fault in Our Stars,"Jan 10, 2012",John Green,In Stock.,$8.06,Dutton Books; 1st edition (2012),English,5.9 x 1 x 8.5 inches,Teen & Young Adult Self Esteem & Reliance Fiction,
Stranger in a Strange Land,"May 15, 1987",Robert A. Heinlein,In Stock.,$7.94,"Ace; 10th Printing edition (May 15, 1987)",English,4.2 x 1.2 x 6.9 inches,First Contact Science Fiction,
